Species,Parity
Tetradactylus_africanus,1
Gerrhosaurus_validus,1
Gerrhosaurus_typicus,1
Gerrhosaurus_skoogi,1
Gerrhosaurus_nigrolineatus,1
Gerrhosaurus_flavigularis,1
Gerrhosaurus_multilineatus,1
Tracheloptychus_petersi,1
Tracheloptychus_madagascariensis,1
Zonosaurus_madagascariensis,1
Zonosaurus_haraldmeieri,1
Zonosaurus_karsteni,1
Zonosaurus_laticaudatus,1
Zonosaurus_anelanelany,1
Zonosaurus_ornatus,1
Zonosaurus_quadrilineatus,1
Zonosaurus_trilineatus,1
Zonosaurus_boettgeri,1
Zonosaurus_tsingy,1
Zonosaurus_brygooi,1
Zonosaurus_rufipes,1
Zonosaurus_aeneus,1
Zonosaurus_bemaraha,1
Zonosaurus_subunicolor,1
Platysaurus_pungweensis,1
Platysaurus_mitchelli,1
Platysaurus_capensis,1
Platysaurus_broadleyi,1
Platysaurus_intermedius,1
Platysaurus_monotropis,1
Platysaurus_minor,1
Cordylus_cataphractus,2
Cordylus_polyzonus,2
Cordylus_jordani,2
Cordylus_pustulatus,2
Cordylus_campbelli,2
Cordylus_namaquensis,2
Cordylus_peersi,2
Cordylus_lawrenci,2
Cordylus_giganteus,2
Cordylus_warreni,2
Chamaesaura_anguina,2
Chamaesaura_aenea,2
Cordylus_langi,2
Cordylus_microlepidotus,2
Cordylus_melanotus,2
Cordylus_spinosus,2
Cordylus_coeruleopunctatus,2
Cordylus_capensis,2
Cordylus_nebulosus,2
Cordylus_meculae,2
Cordylus_tropidosternum,2
Cordylus_vittifer,2
Cordylus_rhodesianus,2
Cordylus_jonesii,2
Cordylus_beraduccii,2
Cordylus_ukingensis,2
Cordylus_macropholis,2
Cordylus_imkeae,2
Cordylus_minor,2
Cordylus_aridus,2
Cordylus_mclachlani,2
Cordylus_niger,2
Cordylus_oelofseni,2
Cordylus_cordylus,2
Cordylus_tasmani,2
Typhlosaurus_meyeri,2
Typhlosaurus_braini,2
Typhlosaurus_caecus,2
Typhlosaurus_lomiae,2
Typhlosaurus_vermis,2
Typhlosaurus_gariepensis,2
Microacontias_litoralis,2
Microacontias_lineatus,2
Typhlosaurus_lineatus,2
Acontias_meleagris,2
Acontophiops_lineatus,2
Acontias_percivali,2
Acontias_breviceps,2
Acontias_gracilicauda,2
Acontias_poecilus,2
Acontias_plumbeus,2
Ophiomorus_latastii,2
Ophiomorus_punctatissimus,2
Brachymeles_apus,2
Brachymeles_bonitae,2
Brachymeles_tridactylus,2
Brachymeles_minimus,2
Brachymeles_samarensis,2
Brachymeles_cebuensis,2
Brachymeles_talinis,2
Brachymeles_elerae,2
Brachymeles_schadenbergi,2
Brachymeles_pathfinderi,2
Brachymeles_gracilis,2
Brachymeles_bicolor,2
Brachymeles_boulengeri,2
Plestiodon_chinensis,1
Plestiodon_quadrilineatus,1
Plestiodon_capito,1
Plestiodon_elegans,1
Plestiodon_latiscutatus,1
Plestiodon_egregius,1
Plestiodon_reynoldsi,1
Plestiodon_anthracinus,1
Plestiodon_laticeps,1
Plestiodon_inexpectatus,1
Plestiodon_tetragrammus,1
Plestiodon_callicephalus,1
Plestiodon_obsoletus,1
Plestiodon_fasciatus,1
Plestiodon_septentrionalis,1
Plestiodon_multivirgatus,1
Plestiodon_gilberti,1
Plestiodon_skiltonianus,1
Plestiodon_copei,2
Plestiodon_dugesii,2
Plestiodon_brevirostris,2
Plestiodon_lynxe,2
Plestiodon_ochoterenae,2
Eumeces_schneideri,1
Scincus_mitranus,2
Eumeces_algeriensis,1
Chalcides_mauritanicus,2
Chalcides_guentheri,2
Chalcides_minutus,2
Chalcides_chalcides,2
Chalcides_striatus,2
Chalcides_pseudostriatus,2
Chalcides_ocellatus,2
Chalcides_sepsoides,2
Chalcides_colosii,2
Chalcides_bedriagai,2
Chalcides_boulengeri,2
Chalcides_lanzai,2
Chalcides_parallelus,2
Chalcides_sexlineatus,2
Chalcides_viridanus,2
Chalcides_coeruleopunctatus,2
Chalcides_sphenopsiformis,2
Chalcides_mionecton,2
Chalcides_manueli,2
Chalcides_montanus,2
Chalcides_polylepis,2
Sepsina_angolensis,2
Typhlacontias_punctatissimus,2
Typhlacontias_brevipes,2
Melanoseps_occidentalis,2
Melanoseps_loveridgei,2
Melanoseps_ater,2
Feylinia_grandisquamis,2
Feylinia_currori,2
Feylinia_polylepis,2
Proscelotes_eggeli,2
Scelotes_caffer,2
Scelotes_anguineus,2
Scelotes_arenicolus,2
Scelotes_mirus,2
Scelotes_bipes,2
Scelotes_sexlineatus,2
Scelotes_gronovii,2
Scelotes_kasneri,2
Scelotes_montispectus,2
Madascincus_melanopleura,1
Androngo_trivittatus,1
Amphiglossus_astrolabi,1
Amphiglossus_reticulatus,1
Amphiglossus_macrocercus,2
Amphiglossus_frontoparietalis,1
Ablepharus_pannonicus,1
Asymblepharus_alaicus,2
Tropidophorus_berdmorei,2
Tropidophorus_matsuii,2
Tropidophorus_noggei,2
Tropidophorus_latiscutatus,2
Tropidophorus_sinicus,2
Tropidophorus_thai,2
Tropidophorus_robinsoni,2
